Música,#genre#
Studio_92_(92.5_FM_Lima),https://us-b4-p-e-pb13-audio.cdn.mdstrm.com/live-audio-aw/5fada553978fe1080e3ac5ea?aid=5faaeb72f92d7b07dfe10181&pid=FTKctNOXzl5WNDmVz2f5NU3r8zh3fEqg&sid=0y9TGtuoAxugH8up4DRUG3ARlQjVd2Ss&uid=DNOgFkTm1uhtorqujeiPkeF7IUx3M0Bh&es=us-b4-p-e-pb13-audio.cdn.mdstrm.com&ote=1787995851738&ot=uVCjzX1Szps7I55pHN1mSA&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada553978fe1080e3ac5ea&listenerId=DNOgFkTm1uhtorqujeiPkeF7IUx3M0Bh
Top_Latino_Radio,http://online.radiodifusion.net:8020/
Radio_Antena10,http://miradioperu.com:9970/stream/
Radio_Calor,http://corporacionlatina.com:8000
Radio_Tacna,http://conectperu.com:8024/stream/
Radio_La_Luz,https://cdn.instant.audio/images/countries/peru.ico
Jose_Luis_Perez_Albela,https://streaming.brol.tech/rtfmlounge
Fidelisima_Radio,http://st3.inkaniserver.net:8008
RADIO_DISCO_Peru,https://sonica.cloudstreaming.eu:10968/stream.nsv
Radio_Chevere,http://radio.sistemasandinos.org:7084/
Senal_Pirata_Radio,https://conectperu.com/8082/stream
Radio_Terra,http://centova.radios.pt:9404/stream?type=.mp3
Radio_MegamixFM94,https://radio.perustream.com/8002/stream?1601983992033
Sensacion_Radio,https://conectperu.com:7108/
Radio_Armonia_91.7,http://radio.sistemasandinos.org:7146/
Amer_Radio_Tv,https://sonic.dattassd.com/8090/stream
Radio_La_J_te_Pone,https://sonic.dattassd.com/8138/stream
Radio_Onda_Digital,https://conectperu.com/8180/stream
Radio_Moda_Star,https://sp.onliveperu.com/8004/stream
Radio_Aroma_Del_Cielo,https://whmsonic.playerfullhd.com/8048/stream
New_Age_Notes,https://das-edge11-live365-dal03.cdnstream.com/a55861
RBC_La_Estación,https://dattavolt.com/8366/stream
Radio_Go_Latino,https://antonyokumura.radioca.st/stream
Radio_Retro_Peru,https://stream2.eistreaming.com:10992/
Radio_AnimeX,https://dj91.hostingnuclear.com/8014/stream
Radio_Tabocas_Mix,https://sp.onliveperu.com/8092/stream
Radio_Soberana_Peru,https://sp.tvcontrolcp.com/8046/stream
Radio_Eten_FM_Oficial,https://sp.onliveperu.com:7080/
Sound_Play,https://dattavolt.com/8180/stream
Radio_Top_Mix,http://ip.peruhits.com:7232/stream/1/
Radio_La_Karibea,http://radio.transmite.pe:9310/stream
Mambo_Inn_Radio,http://centova.perustream.com:9992/
Red_FM,https://whmsonic.playerfullhd.com/8214/stream
Radio_Tigre,https://sp.oyotunstream.com/9352/stream
Radio_Latidos,http://ip.peruhits.com:7234/?
Mega_Mix,https://us-b4-p-e-ml19-audio.cdn.mdstrm.com/live-audio-aw/5fada56fe4e09508207a7951/playlist.m3u8?aid=5faaeb72f92d7b07dfe10181&pid=ARjopAhi5GAe07AxJJGIMaPhNK0izjH3&sid=lPcxWMwxMzhuT4oRAMaHcQ3Yjzc7qkN4&uid=puAec81q1bQGw4s8z7VrqH9qLKZgtmSD&es=us-b4-p-e-ml19-audio.cdn.mdstrm.com&ote=1787995949624&ot=KqNE7MRXhkQOLsTZTJQIFA&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada56fe4e09508207a7951&listenerId=puAec81q1bQGw4s8z7VrqH9qLKZgtmSD
Radio_Cantea_989_FM_Te_Encanta,https://sonic.globalstream.pro/8010/stream
Doble_Nueve_-_LIVE,https://conectperu.com:7000/stream?icy=http
Independencia,https://sonic.dattassd.com/8172/stream
Feliz,https://cloudstream2036.conectarhosting.com/8152/stream
Rede,https://dattavolt.com:7139/live
Enmanuel,https://conectperu.com/8220/stream
Yaraví,https://tupanel.info:2000/stream/radioyaravi/stream
Radio_Frecuencia_Primera,http://ur58.lorini.net:10999/exitosccs.mp3
Felicidad_(AM),https://us-b4-p-e-cg11-audio.cdn.mdstrm.com/live-audio-aw/5fad731fcf097a068af3c8f7?aid=5faaeb72f92d7b07dfe10181&pid=i7nzvvqPiGfVj5Xbqx8qUapgVUbDMlEV&sid=z8ZSLa3kZTTcBEhNjCxW7pjD7JrF8DaH&uid=2QpH436GSXTY1j4JdUKGT3zqqDrfR0Ba&es=us-b4-p-e-cg11-audio.cdn.mdstrm.com&ote=1787995951014&ot=I6l090XHCreeyBcWeNQ-MA&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fad731fcf097a068af3c8f7&listenerId=2QpH436GSXTY1j4JdUKGT3zqqDrfR0Ba
Radio_Mil,https://conectperu.com/8252/stream
JR,https://us-b4-p-e-zs14-audio.cdn.mdstrm.com/live-audio-aw/5fada553978fe1080e3ac5ea/playlist.m3u8?aid=5faaeb72f92d7b07dfe10181&pid=jqhiEJA3pJ8dKSP1oN201NJNmQmVxn5I&sid=TcNjoywXSY8XYOagMTuXJ4Uzm8twTgNr&uid=x5fiN2xGNMKnXGKBCP6UCgryqvUpYkh3&es=us-b4-p-e-zs14-audio.cdn.mdstrm.com&ote=1787995952065&ot=br7-f6dFiUQ11Av8Vspeew&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada553978fe1080e3ac5ea&listenerId=x5fiN2xGNMKnXGKBCP6UCgryqvUpYkh3
Melodía,https://stream.radiomelodia.com.pe:8000/radio.mp3
La_Inolvidable,https://27423.live.streamtheworld.com/DISNEY_PER_LM_SC
MJM_Radyo,https://mfm.ice.infomaniak.ch/mfm-128
Stereo_1,https://cloudstream.oppublicidad.com/8026/stream
ActivaVida_Radio,https://sp1.streamingssl.com/8018/stream
Radio_Apurimeña_97.3,https://sonic.dattassd.com/8080/stream
Alegria_Radio,https://radio.sistemasandinos.org:10974/stream
Fidelidad_FM,https://cast.fmhits80s.net.pe/radio/8000/stream128
Full_Adventistas_Radio,https://server2.ejeserver.com:8457/autodj
Buenos_Momentos_Radio,https://conectperu.com:7077/
Radio_Curahuasi_104.5_FM,https://sonic.dattassd.com/9162/stream
Victoria,https://radio.sistemasandinos.org:10961/
Radio_Cordillera_102.9_FM,https://sonic.dattassd.com/2002/stream
Radio_Celestial_Peru,https://panelautodj.innovatestream.pe:10892/stream
Radio_Alerta_General,https://soniceuropa.globalstream.pro/8042/stream
Radio_Del_Callao,https://conectperu.com/8084/stream
Holy_Spirit_Of_God_Radio_–_Praise,https://hoth.alonhosting.com:3265/stream
Open_Radio_Tacna,https://stream2.eistreaming.com:7003/
Radio_Libertad,https://radio.pjcks.com/9972/stream
Radio_KISS_FM_Cajamarca,https://panelautodj.innovatestream.pe:10829/stream.nsv
Radio_Huanuco_94.7_FM,https://sonic.globalstream.pro/8072/stream
Radio_La_Uncion,https://jml-stream.com/radio/8010/radio.mp3
Radio_Mira_101.1_FM,https://dattavolt.com/8050/stream
Radio_Positiva,https://sp.oyotunstream.com:10923/stream.nsv
Radio_Pentagrama_Paiján,https://conectperu.com/8340/stream
Radio_San_Pedro_FM,https://conectperu.com:7101/
Radio_Power_TV,https://sp.dattavolt.com/8062/stream
Radio_Roliz,https://radio.sistemasandinos.org/7420/stream
Radio_San_Martin,https://conectperu.com:7020/stream
Radio_Urbana,https://radio.sistemasandinos.org:10905//stream?icy=http
Radio_Patamarca,https://radio.transmite.pe:7011/
Top_Latino_Urbano,https://5cefcbf58ba2e.streamlock.net:543/latino/latino.stream/chunklist_w1029773597.m3u8
Radio_Americana,http://st3.inkaniserver.net:8010/stream
Radio_Del_Sur_91.9,http://streaming01.shockmedia.com.ar:9516/stream/
Radio_Sabor_Mix_95.3_FM,https://dattavolt.com:7066/
Remembranzas_del_Criollismo,https://sonic.sistemahost.es:7045/stream.nsv
Radio_Git_Uripa,https://radio.perustream.com:7005/index
Top_Latino_-_Urbano,https://5cefcbf58ba2e.streamlock.net:543/latino/latino.stream/chunklist_w1943257390.m3u8
Metropolitana_Radio_Peruna,http://99.198.110.162:8130/stream/
Jazz_Contempo_Radio,http://conectperu.com:8048/stream/
Radio_Reggae,http://online.radiodifusion.net:8054/stream
Super_Color_FM,https://conectperu.com:7132/
Kodama_Station,http://cast.kodamastation.com:8000/radio.mp3
Radio_Victoria,http://radio.sistemasandinos.org:7238/stream/
Radio_Frecuencia_100,http://sp.oyotunstream.com:7066/stream/
Filarmonia_102.7,http://c22.radioboss.fm:8100/autodj
