Undefined,#genre#
Imás_TV_(1080p)_[Not_24/7],https://secure3.todostreaming.es/live/imastv-livestream.m3u8
Interalmeria_TV_(1080p),https://interalmeria.tv/directo/live.m3u8
Intercomarcal_TV_(576p)_[Not_24/7],https://streamingtvi.gestec-video.com/hls/tvixa.m3u8
La_1_(720p)_[Geo-blocked],https://rtvelivestream.rtve.es/rtvesec/la1/la1_main.m3u8
La_1_(720p),https://ztnr.rtve.es/ztnr/1688877.m3u8
La_1_Canarias_(720p)_[Geo-blocked],https://rtvelivestream.rtve.es/rtvesec/can/la1_can_main.m3u8
La_1_Canarias_(720p),https://ztnr.rtve.es/ztnr/5190066.m3u8
La_1_Catalunya_(720p)_[Geo-blocked],https://rtvelivestream.rtve.es/rtvesec/cat/la1_cat_main.m3u8
La_1_Catalunya_(720p),https://ztnr.rtve.es/ztnr/3293681.m3u8
La_2_Canarias_(720p),https://ztnr.rtve.es/ztnr/5468585.m3u8
La_2_Catalunya_(720p),https://ztnr.rtve.es/ztnr/3987218.m3u8
La_Urban_TV_(1080p)_[Not_24/7],https://urbanrevolution.es:8443/live/TV/playlist.m3u8
LaLiga_Hypermotion_(1080p),http://latam-cache-sv2-cdn.latamlive.net/LA_LIGA_SMARTBANK_IP_ENC_LIVE/index.m3u8
LaLiga_TV,http://162.19.255.233:8080/play/UNbAl57p9hXZClOu56FCTZID4SFOqZLZ81NguVP-JxM/m3u8
Lancelot_TV_(404p),https://5c0956165db0b.streamlock.net:8090/directo/_definst_/lancelot.television/master.m3u8
LaOtra_(720p),https://laotra-1-23-secure2.akamaized.net/master.m3u8
Lleida_Televisió_(1080p),#EXTVLCOPT:http-user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.44.191160
Mijas_3.40TV_(720p),https://streaming004.gestec-video.com/hls/MIJAS.m3u8
Mírame_TV_(360p)_[Not_24/7],https://bit.controlstreams.com:5443/LiveApp/streams/mirametv.m3u8
Molahits_TV_(720p),http://ventdelnord.tv:8080/mola/directe.m3u8
Music_TV_Granada_(1080p)_[Not_24/7],https://cloudvideo.servers10.com:8081/8032/index.m3u8
NatureTime_(1080p),https://shls-live-ak.akamaized.net/out/v1/b06a89a463764d3688cda337d40dc5bf/index.m3u8
Negocios_TV_(1080p),https://streaming013.gestec-video.com/hls/negociostv.m3u8
Nickelodeon_(1080p),https://xykt-fix.github.io/iptv/streams/SP57.m3u8
NORTEvisión_(1080p),http://amaru.dyndns.org:8870/0.m3u8
Olot_TV_(1080p),#EXTVLCOPT:http-user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.44.191160
Pequeradio_(720p)_[Not_24/7],https://canadaremar2.todostreaming.es/live/peque-pequetv.m3u8
Piera_TV_(720p)_[Not_24/7],http://51.254.47.72:1935/piera/smil:piera.smil/master.m3u8
